,광역시도,시군,pop,moon,hong,ahn
0,서울특별시,종로구,102566,42512,22325,22313
1,서울특별시,중구,82852,34062,17901,19372
2,서울특별시,용산구,148157,58081,35230,32109
3,서울특별시,성동구,203175,86686,40566,45674
4,서울특별시,광진구,240030,105512,46368,52824
5,서울특별시,동대문구,236092,98958,51631,53359
6,서울특별시,중랑구,265706,111450,56545,62778
7,서울특별시,성북구,295866,129263,57584,66518
8,서울특별시,강북구,210614,89645,42268,51669
9,서울특별시,도봉구,229233,94898,47461,55600
10,서울특별시,노원구,374213,158167,67590,96325
11,서울특별시,은평구,317275,140180,60109,72582
12,서울특별시,서대문구,212076,93768,40513,46237
13,서울특별시,마포구,256992,117336,46547,52545
14,서울특별시,양천구,310886,133853,60814,71816
15,서울특별시,강서구,397108,175882,76601,88128
16,서울특별시,구로구,278805,121077,59194,61734
17,서울특별시,금천구,155010,67423,31106,36695
18,서울특별시,영등포구,248833,105834,53615,53994
19,서울특별시,동작구,276685,121722,54431,60305
20,서울특별시,관악구,351240,159854,59914,79495
21,서울특별시,서초구,292916,106416,74891,63977
22,서울특별시,강남구,365642,128927,97639,80201
23,서울특별시,송파구,441198,177328,98549,99018
24,서울특별시,강동구,297476,122511,65893,67499
25,부산광역시,중구,28604,9918,10684,4675
26,부산광역시,서구,71446,24522,26360,11868
27,부산광역시,동구,58304,19606,22188,9815
28,부산광역시,영도구,78013,30094,25345,13082
29,부산광역시,부산진구,246124,95042,79545,40636
30,부산광역시,동래구,181098,67947,59616,30208
31,부산광역시,남구,181922,68566,59137,30943
32,부산광역시,북구,203689,83611,61175,32712
33,부산광역시,해운대구,266870,102106,80904,48325
34,부산광역시,기장군,94393,39412,26556,15909
35,부산광역시,사하구,211876,82452,65252,36713
36,부산광역시,금정구,164127,60169,54418,26729
37,부산광역시,강서구,68633,30783,18711,10629
38,부산광역시,연제구,137602,52454,44221,23321
39,부산광역시,수영구,119064,43702,39832,20319
40,부산광역시,사상구,149868,61743,46540,23023
41,대구광역시,중구,52180,11477,24698,7170
42,대구광역시,동구,226510,47350,100166,31351
43,대구광역시,서구,127659,22004,68782,17808
44,대구광역시,남구,100059,19862,50304,13978
45,대구광역시,북구,276725,62526,121368,42369
46,대구광역시,수성구,285528,64922,123074,43698
47,대구광역시,달서구,374766,82726,165781,57956
48,대구광역시,달성군,137920,31753,60032,21427
49,인천광역시,중구,69220,28030,16139,15405
50,인천광역시,동구,44672,16501,11446,10479
51,인천광역시,남구,254020,96338,60603,61034
52,인천광역시,연수구,208175,85853,41920,48166
53,인천광역시,남동구,327425,136132,66178,77693
54,인천광역시,부평구,345398,146859,66560,82590
55,인천광역시,계양구,205824,88890,37234,48622
56,인천광역시,서구,306672,132399,56236,72248
57,인천광역시,강화군,43938,12153,17041,9559
58,인천광역시,옹진군,14747,3935,5834,3092
59,광주광역시,동구,66287,37053,1308,23438
60,광주광역시,서구,204787,124183,3182,62218
61,광주광역시,남구,146037,85642,2521,47663
62,광주광역시,북구,292001,177850,4241,88501
63,광주광역시,광산구,248209,159119,3630,65402
64,대전광역시,동구,143823,57580,33015,34729
65,대전광역시,중구,157397,62115,37657,37504
66,대전광역시,서구,307774,133604,59593,70732
67,대전광역시,유성구,218087,103313,35445,47081
68,대전광역시,대덕구,118816,47933,25666,28723
69,울산광역시,중구,157051,56657,47625,26458
70,울산광역시,남구,219569,80662,63331,39040
71,울산광역시,동구,109054,44931,23701,19290
72,울산광역시,북구,122933,52058,26596,20115
73,울산광역시,울주군,136353,48486,42349,23617
74,세종특별자치시,세종특별자치시,152801,77767,23211,32010
75,경기도,수원시장안구,190917,81392,37143,43344
76,경기도,수원시권선구,222078,95263,42801,51061
77,경기도,수원시팔달구,123458,49814,27782,28228
78,경기도,수원시영통구,220307,105181,33354,46872
79,경기도,성남시수정구,149414,63867,28395,36752
80,경기도,성남시중원구,146801,62729,27896,36512
81,경기도,성남시분당구,338076,139853,71332,74040
82,경기도,의정부시,270404,110580,57027,65003
83,경기도,안양시만안구,167995,70454,35189,38671
84,경기도,안양시동안구,230674,101278,43072,51966
85,경기도,부천시,543777,239697,100544,128297
86,경기도,광명시,218795,97959,39081,51958
87,경기도,평택시,273677,104574,62827,64057
88,경기도,양주시,121344,46286,29739,28469
89,경기도,동두천시,55487,19444,15733,12808
90,경기도,안산시상록구,226266,98564,39723,55067
91,경기도,안산시단원구,187253,80771,33862,45779
92,경기도,고양시덕양구,287087,120063,55157,61581
93,경기도,고양시일산동구,188297,81622,34980,41166
94,경기도,고양시일산서구,192610,85919,35147,41563
95,경기도,과천시,40789,16528,9055,8736
96,경기도,의왕시,103913,43869,21218,23602
97,경기도,구리시,123469,51181,26113,28698
98,경기도,남양주시,397972,165079,86026,92048
99,경기도,오산시,118683,52358,21829,27201
100,경기도,화성시,386002,176940,69014,84967
101,경기도,시흥시,239227,103732,43248,58119
102,경기도,군포시,186084,82551,34784,41883
103,경기도,하남시,138937,57298,31793,30999
104,경기도,파주시,256847,107148,55347,54921
105,경기도,여주시,65695,20474,21581,14545
106,경기도,이천시,121841,44109,33301,26695
107,경기도,용인시처인구,134872,50423,33153,32027
108,경기도,용인시수지구,225513,95325,50229,47125
109,경기도,용인시기흥구,261414,116017,53405,55393
110,경기도,안성시,106490,39380,26693,25193
111,경기도,김포시,225075,93697,48490,51081
112,경기도,광주시,199221,80175,45030,46829
113,경기도,포천시,90620,27632,28030,22505
114,경기도,연천군,28675,8384,9557,6805
115,경기도,양평군,71056,21329,24800,15653
116,경기도,가평군,38897,10873,13865,9089
117,강원도,춘천시,175879,66874,43494,38684
118,강원도,원주시,204233,77495,50750,45776
119,강원도,강릉시,132395,41565,44421,26895
120,강원도,동해시,55542,17184,19009,11345
121,강원도,삼척시,44097,13496,15971,8185
122,강원도,태백시,28101,9557,10046,4971
123,강원도,정선군,23859,8270,8323,4489
124,강원도,속초시,46985,15045,13883,11031
125,강원도,고성군,18692,5664,6511,3964
126,강원도,양양군,17853,5017,6687,3868
127,강원도,인제군,20751,6574,6009,4759
128,강원도,홍천군,43648,13851,13549,10023
129,강원도,횡성군,29447,8833,10423,6479
130,강원도,영월군,25925,8067,8779,5753
131,강원도,평창군,27444,8591,9348,5998
132,강원도,화천군,17083,5161,5019,4000
133,강원도,양구군,14848,4526,4250,3519
134,강원도,철원군,29103,8998,8437,7101
135,충청북도,청주시상당구,106316,42308,27108,21983
136,충청북도,청주시서원구,134980,56521,30471,28912
137,충청북도,청주시흥덕구,153064,66281,31023,32756
138,충청북도,청주시청원구,115327,50487,24026,24203
139,충청북도,충주시,127426,43551,38532,28588
140,충청북도,제천시,84700,28517,26977,17768
141,충청북도,단양군,19905,5708,7901,4026
142,충청북도,영동군,32554,10432,10958,7017
143,충청북도,보은군,22341,7268,7587,4910
144,충청북도,옥천군,33175,11181,10431,7465
145,충청북도,음성군,56788,20723,15180,13381
146,충청북도,진천군,41255,15844,10265,9489
147,충청북도,괴산군,25824,7876,9435,5830
148,충청북도,증평군,21786,8109,5608,5126
149,충청남도,천안시서북구,212329,94202,37293,47891
150,충청남도,천안시동남구,151132,59695,34869,34933
151,충청남도,공주시,67018,25036,18449,15814
152,충청남도,보령시,62825,20674,19453,15428
153,충청남도,아산시,173795,73461,36741,38368
154,충청남도,서산시,98859,37376,24572,23237
155,충청남도,태안군,38740,12881,12666,8940
156,충청남도,금산군,32968,11182,9416,8787
157,충청남도,논산시,72434,28265,16948,18844
158,충청남도,계룡시,26530,9566,6261,6722
159,충청남도,당진시,95417,37191,23597,20852
160,충청남도,부여군,43288,13492,13761,11022
161,충청남도,서천군,34889,12554,9891,8744
162,충청남도,홍성군,59645,21021,16682,14251
163,충청남도,청양군,20667,6185,7104,5140
164,충청남도,예산군,49668,13880,18911,11243
165,전라북도,전주시완산구,236383,157637,7003,50506
166,전라북도,전주시덕진구,187921,125375,5183,40188
167,전라북도,군산시,172330,109379,6360,42387
168,전라북도,익산시,192208,123422,6470,45737
169,전라북도,정읍시,73678,45894,2175,20111
170,전라북도,남원시,55371,35539,1939,13854
171,전라북도,김제시,57886,35870,2052,15880
172,전라북도,완주군,62470,41057,2107,13897
173,전라북도,진안군,18107,11918,819,3904
174,전라북도,무주군,17019,10381,1225,3998
175,전라북도,장수군,16079,10714,717,3353
176,전라북도,임실군,20381,12893,771,5009
177,전라북도,순창군,20126,12309,688,5624
178,전라북도,고창군,39188,23877,1215,11182
179,전라북도,부안군,36647,22482,1507,9837
180,전라남도,목포시,145476,77896,2584,53303
181,전라남도,여수시,185487,117586,4281,50228
182,전라남도,순천시,181451,122595,4525,40429
183,전라남도,나주시,71599,43967,1448,21011
184,전라남도,광양시,96384,63544,4100,20080
185,전라남도,담양군,33020,19961,698,10017
186,전라남도,장성군,30670,17378,851,10167
187,전라남도,곡성군,21247,12152,624,6850
188,전라남도,구례군,18924,11873,628,5188
189,전라남도,고흥군,47036,26882,1349,15614
190,전라남도,보성군,29967,16666,732,10514
191,전라남도,화순군,43572,25867,770,13832
192,전라남도,장흥군,27149,14821,636,9593
193,전라남도,강진군,25175,12476,753,10152
194,전라남도,완도군,34886,20945,762,11021
195,전라남도,해남군,48351,25901,1158,18157
196,전라남도,진도군,21189,10392,511,8855
197,전라남도,영암군,36402,18999,825,13610
198,전라남도,무안군,52516,29516,983,18052
199,전라남도,영광군,35919,20595,819,11675
200,전라남도,함평군,23368,13539,471,7831
201,전라남도,신안군,28950,14370,713,12000
202,경상북도,포항시북구,171444,38629,77138,26901
203,경상북도,포항시남구,150740,34808,66319,24728
204,경상북도,울릉군,6810,1443,3520,973
205,경상북도,경주시,167296,38092,80090,23898
206,경상북도,김천시,92184,22255,43998,12803
207,경상북도,안동시,107357,23121,52978,15461
208,경상북도,구미시,246638,62573,98732,41141
209,경상북도,영주시,70861,15280,34504,10444
210,경상북도,영천시,66091,12250,35328,9175
211,경상북도,상주시,67717,12356,38171,9392
212,경상북도,문경시,49113,8616,27832,6905
213,경상북도,예천군,32124,5261,18863,4427
214,경상북도,경산시,160794,35602,72129,24606
215,경상북도,청도군,30398,5323,17678,3654
216,경상북도,고령군,22396,3754,13248,2600
217,경상북도,성주군,30070,5409,16788,3586
218,경상북도,칠곡군,72006,16872,31540,11340
219,경상북도,군위군,17627,2251,11651,1939
220,경상북도,의성군,37855,5365,23790,4767
221,경상북도,청송군,18418,3218,10669,2387
222,경상북도,영양군,12048,2281,6554,1701
223,경상북도,영덕군,26125,3786,16314,3231
224,경상북도,봉화군,22947,4209,12536,3370
225,경상북도,울진군,32568,6972,16867,4476
226,경상남도,창원시의창구,164047,60757,56887,22830
227,경상남도,창원시성산구,153327,63717,42052,22923
228,경상남도,창원시마산합포구,119281,35592,54488,14686
229,경상남도,창원시마산회원구,136757,45014,56340,17744
230,경상남도,창원시진해구,114779,41249,40049,17435
231,경상남도,진주시,222813,73929,93751,26687
232,경상남도,통영시,82855,25477,36128,10738
233,경상남도,고성군,34603,9848,16797,4104
234,경상남도,사천시,71555,22370,32475,8350
235,경상남도,김해시,318253,147972,82880,45126
236,경상남도,밀양시,70687,20842,32394,9073
237,경상남도,거제시,150230,68291,38775,20359
238,경상남도,의령군,19258,5115,10134,1984
239,경상남도,함안군,43866,13597,19809,5399
240,경상남도,창녕군,42878,10310,24464,3877
241,경상남도,양산시,199835,83412,58811,30945
242,경상남도,하동군,34324,11211,14864,4150
243,경상남도,남해군,30208,8680,14166,3906
244,경상남도,함양군,26640,7388,13008,3203
245,경상남도,산청군,24513,6561,12544,2753
246,경상남도,거창군,41325,11256,19976,4923
247,경상남도,합천군,33021,7143,19699,3077
248,제주특별자치도,제주시,273163,125717,48027,55971
249,제주특별자치도,서귀포시,101296,43776,20036,21890
